start_id,end_id,type,label
n22,n3,SUBCLASS_OF,rdfs:subClassOf
n6,n3,SUBCLASS_OF,rdfs:subClassOf
n31,n3,SUBCLASS_OF,rdfs:subClassOf
n29,n3,SUBCLASS_OF,rdfs:subClassOf
n33,n22,SUBCLASS_OF,rdfs:subClassOf
n4,n22,SUBCLASS_OF,rdfs:subClassOf
n40,n1,SUBCLASS_OF,rdfs:subClassOf
n35,n21,SUBCLASS_OF,rdfs:subClassOf
n5,n21,SUBCLASS_OF,rdfs:subClassOf
n13,n19,SUBCLASS_OF,rdfs:subClassOf
n15,n19,SUBCLASS_OF,rdfs:subClassOf
n25,n24,SUBCLASS_OF,rdfs:subClassOf
n9,n2,SUBCLASS_OF,rdfs:subClassOf
n36,n18,SUBCLASS_OF,rdfs:subClassOf
n14,n18,SUBCLASS_OF,rdfs:subClassOf
n39,n18,SUBCLASS_OF,rdfs:subClassOf
n16,n18,SUBCLASS_OF,rdfs:subClassOf
n28,n18,SUBCLASS_OF,rdfs:subClassOf
n7,n18,SUBCLASS_OF,rdfs:subClassOf
n17,n20,SUBCLASS_OF,rdfs:subClassOf
n12,n20,SUBCLASS_OF,rdfs:subClassOf
n13,n47,DOMAIN_OF,rdfs:domain
n47,n22,RANGE_OF,rdfs:range
n5,n102,DOMAIN_OF,rdfs:domain
n9,n56,DOMAIN_OF,rdfs:domain
n15,n76,DOMAIN_OF,rdfs:domain
n76,n27,RANGE_OF,rdfs:range
n27,n64,DOMAIN_OF,rdfs:domain
n64,n10,RANGE_OF,rdfs:range
n32,n114,DOMAIN_OF,rdfs:domain
n27,n96,DOMAIN_OF,rdfs:domain
n96,n26,RANGE_OF,rdfs:range
n34,n45,DOMAIN_OF,rdfs:domain
n45,n13,RANGE_OF,rdfs:range
n13,n74,DOMAIN_OF,rdfs:domain
n74,n38,RANGE_OF,rdfs:range
n13,n48,DOMAIN_OF,rdfs:domain
n48,n4,RANGE_OF,rdfs:range
n27,n66,DOMAIN_OF,rdfs:domain
n66,n29,RANGE_OF,rdfs:range
n38,n82,DOMAIN_OF,rdfs:domain
n82,n40,RANGE_OF,rdfs:range
n19,n70,DOMAIN_OF,rdfs:domain
n70,n3,RANGE_OF,rdfs:range
n13,n73,DOMAIN_OF,rdfs:domain
n73,n33,RANGE_OF,rdfs:range
n15,n77,DOMAIN_OF,rdfs:domain
n77,n38,RANGE_OF,rdfs:range
n32,n108,DOMAIN_OF,rdfs:domain
n108,n26,RANGE_OF,rdfs:range
n13,n94,DOMAIN_OF,rdfs:domain
n94,n27,RANGE_OF,rdfs:range
n19,n116,DOMAIN_OF,rdfs:domain
n116,n37,RANGE_OF,rdfs:range
n26,n63,DOMAIN_OF,rdfs:domain
n63,n23,RANGE_OF,rdfs:range
n34,n46,DOMAIN_OF,rdfs:domain
n46,n38,RANGE_OF,rdfs:range
n3,n41,DOMAIN_OF,rdfs:domain
n41,n18,RANGE_OF,rdfs:range
n15,n60,DOMAIN_OF,rdfs:domain
n60,n40,RANGE_OF,rdfs:range
n31,n98,DOMAIN_OF,rdfs:domain
n98,n5,RANGE_OF,rdfs:range
n38,n59,DOMAIN_OF,rdfs:domain
n59,n27,RANGE_OF,rdfs:range
n20,n90,DOMAIN_OF,rdfs:domain
n90,n27,RANGE_OF,rdfs:range
n6,n62,DOMAIN_OF,rdfs:domain
n62,n31,RANGE_OF,rdfs:range
n38,n69,DOMAIN_OF,rdfs:domain
n69,n32,RANGE_OF,rdfs:range
n15,n112,DOMAIN_OF,rdfs:domain
n112,n40,RANGE_OF,rdfs:range
n19,n68,DOMAIN_OF,rdfs:domain
n68,n3,RANGE_OF,rdfs:range
n32,n97,DOMAIN_OF,rdfs:domain
n27,n67,DOMAIN_OF,rdfs:domain
n67,n30,RANGE_OF,rdfs:range
n26,n80,DOMAIN_OF,rdfs:domain
n80,n23,RANGE_OF,rdfs:range
n15,n79,DOMAIN_OF,rdfs:domain
n79,n38,RANGE_OF,rdfs:range
n34,n49,DOMAIN_OF,rdfs:domain
n49,n35,RANGE_OF,rdfs:range
n5,n91,DOMAIN_OF,rdfs:domain
n91,n4,RANGE_OF,rdfs:range
n35,n92,DOMAIN_OF,rdfs:domain
n92,n33,RANGE_OF,rdfs:range
n22,n93,DOMAIN_OF,rdfs:domain
n93,n21,RANGE_OF,rdfs:range
n15,n87,DOMAIN_OF,rdfs:domain
n87,n32,RANGE_OF,rdfs:range
n19,n113,DOMAIN_OF,rdfs:domain
n113,n26,RANGE_OF,rdfs:range
n3,n95,DOMAIN_OF,rdfs:domain
n95,n1,RANGE_OF,rdfs:range
n19,n50,DOMAIN_OF,rdfs:domain
n26,n61,DOMAIN_OF,rdfs:domain
n61,n5,RANGE_OF,rdfs:range
n9,n89,DOMAIN_OF,rdfs:domain
n89,n27,RANGE_OF,rdfs:range
n15,n78,DOMAIN_OF,rdfs:domain
n78,n27,RANGE_OF,rdfs:range
n9,n65,DOMAIN_OF,rdfs:domain
n65,n11,RANGE_OF,rdfs:range
