start_id,end_id,type,label
n22,n3,SUBCLASS_OF,rdfs:subClassOf
n6,n3,SUBCLASS_OF,rdfs:subClassOf
n31,n3,SUBCLASS_OF,rdfs:subClassOf
n29,n3,SUBCLASS_OF,rdfs:subClassOf
n33,n22,SUBCLASS_OF,rdfs:subClassOf
n4,n22,SUBCLASS_OF,rdfs:subClassOf
n39,n1,SUBCLASS_OF,rdfs:subClassOf
n34,n21,SUBCLASS_OF,rdfs:subClassOf
n5,n21,SUBCLASS_OF,rdfs:subClassOf
n13,n19,SUBCLASS_OF,rdfs:subClassOf
n15,n19,SUBCLASS_OF,rdfs:subClassOf
n25,n24,SUBCLASS_OF,rdfs:subClassOf
n9,n2,SUBCLASS_OF,rdfs:subClassOf
n35,n18,SUBCLASS_OF,rdfs:subClassOf
n14,n18,SUBCLASS_OF,rdfs:subClassOf
n38,n18,SUBCLASS_OF,rdfs:subClassOf
n16,n18,SUBCLASS_OF,rdfs:subClassOf
n28,n18,SUBCLASS_OF,rdfs:subClassOf
n7,n18,SUBCLASS_OF,rdfs:subClassOf
n17,n20,SUBCLASS_OF,rdfs:subClassOf
n12,n20,SUBCLASS_OF,rdfs:subClassOf
n5,n76,DOMAIN_OF,rdfs:domain
n76,n4,RANGE_OF,rdfs:range
n37,n54,DOMAIN_OF,rdfs:domain
n54,n27,RANGE_OF,rdfs:range
n3,n79,DOMAIN_OF,rdfs:domain
n79,n1,RANGE_OF,rdfs:range
n37,n62,DOMAIN_OF,rdfs:domain
n62,n32,RANGE_OF,rdfs:range
n26,n55,DOMAIN_OF,rdfs:domain
n55,n5,RANGE_OF,rdfs:range
n6,n56,DOMAIN_OF,rdfs:domain
n56,n31,RANGE_OF,rdfs:range
n27,n58,DOMAIN_OF,rdfs:domain
n58,n10,RANGE_OF,rdfs:range
n27,n61,DOMAIN_OF,rdfs:domain
n61,n30,RANGE_OF,rdfs:range
n13,n44,DOMAIN_OF,rdfs:domain
n44,n22,RANGE_OF,rdfs:range
n22,n78,DOMAIN_OF,rdfs:domain
n78,n21,RANGE_OF,rdfs:range
n32,n97,DOMAIN_OF,rdfs:domain
n5,n86,DOMAIN_OF,rdfs:domain
n19,n99,DOMAIN_OF,rdfs:domain
n99,n36,RANGE_OF,rdfs:range
n34,n77,DOMAIN_OF,rdfs:domain
n77,n33,RANGE_OF,rdfs:range
n3,n40,DOMAIN_OF,rdfs:domain
n40,n18,RANGE_OF,rdfs:range
n19,n45,DOMAIN_OF,rdfs:domain
n20,n75,DOMAIN_OF,rdfs:domain
n75,n27,RANGE_OF,rdfs:range
n9,n74,DOMAIN_OF,rdfs:domain
n74,n27,RANGE_OF,rdfs:range
n26,n57,DOMAIN_OF,rdfs:domain
n57,n23,RANGE_OF,rdfs:range
n31,n82,DOMAIN_OF,rdfs:domain
n82,n5,RANGE_OF,rdfs:range
n27,n60,DOMAIN_OF,rdfs:domain
n60,n29,RANGE_OF,rdfs:range
n9,n59,DOMAIN_OF,rdfs:domain
n59,n11,RANGE_OF,rdfs:range
n37,n68,DOMAIN_OF,rdfs:domain
n68,n39,RANGE_OF,rdfs:range
n32,n92,DOMAIN_OF,rdfs:domain
n92,n26,RANGE_OF,rdfs:range
n32,n81,DOMAIN_OF,rdfs:domain
n26,n66,DOMAIN_OF,rdfs:domain
n66,n23,RANGE_OF,rdfs:range
n27,n80,DOMAIN_OF,rdfs:domain
n80,n26,RANGE_OF,rdfs:range
n9,n51,DOMAIN_OF,rdfs:domain
n19,n96,DOMAIN_OF,rdfs:domain
n96,n26,RANGE_OF,rdfs:range
